Institutionsname;Besuche_insgesamt;Besuche_insgesamt;zahlende_Besucherinnen_und _Besucher;zahlende_Besucherinnen_und _Besucher;nicht_zahlende_Besucherinnen_und_Besucher;nicht_zahlende_Besucherinnen_und_Besucher;Besucherinnen;Besucherinnen;Besucher;Besucher;Kinder_und_Jugendliche;Kinder_und_Jugendliche;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Bemerkungen_Angaben_werden_nicht_erhoben;Institutionskategorie
"Gemaeldegalerie - Kulturforum (Zentralkasse)
mit Kunstbibliothek und Kupferstichkabinett";277,000;322,000;197,500;234,800;79,500;87,200;156,782;-;120,218;-;9,946;9,600;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Kunstgewerbemuseum - Kulturforum;43,000;-;13,500;-;29,500;-;-;-;-;-;192;-;-;-;ab Jan. 2012 wegen Renovierungs- u. Umbauarbeiten geschlossen;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Kunstgewerbemuseum - Schloss Koepenick;20,000;26,500;15,900;24,500;4,100;5,000;-;-;-;-;1,033;1,200;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
"Ethnologisches Museum - Museen Dahlem (Zentralkasse)
mit Museum Europaeischer Kulturen und Museum fuer Asiatische Kunst";108,000;140,000;63,800;68,600;44,200;71,400;61,344;-;46,656;-;11,297;14,700;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Museum fuer Fotografie -Charlottenburg;111,000;115,000;90,200;93,900;20,800;21,100;-;-;-;-;5,298;5,200;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Museum Berggruen -Charlottenburg;64,000;-;51,500;-;12,500;-;-;-;-;-;3,496;-;-;-;ab September 2011 wegen Bauarbeiten geschlossen;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Sammlung Scharf-Gerstenberg -Charlottenburg;43,000;35,000;35,700;27,700;7,300;7,300;-;-;-;-;1,719;1,400;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Musikinstrumenten-Museum;60,000;60,000;-;-;-;-;-;-;-;-;-;-;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Staatsbibliothek;1,029,944;935,207;-;-;-;-;-;-;-;-;-;-;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
Humboldt-Box;200,000;174,000;-;-;-;-;-;-;-;-;-;-;-;-;-;Staatliche Museen zu Berlin / Stiftung Preussischer Kulturbesitz
"Schloss Charlottenburg(Neuer Pavillon;Belvedere; Mausoleum)";433,656;440,862;-;-;-;-;251,520;255,700;182,136;185,162;-;-;-;-;-;Preussische Schloesser & Gaerten
Pfaueninsel;138,054;128,795;-;-;-;-;-;-;-;-;-;-;-;-;Besuchszahlen inkl. Schloss und Meierei;Preussische Schloesser & Gaerten
"Park Glienicke(Schloss; Casino)";8,597;7,530;-;-;-;-;-;-;-;-;-;-;-;-;-;Preussische Schloesser & Gaerten
"Jagdschloss Grunewald(Schloss; Jagd-zeugmagazin)";19,298;23,710;-;-;-;-;-;-;-;-;-;-;-;-;-;Preussische Schloesser & Gaerten
Schloss Schoenhausen;24,436;20,111;-;-;-;-;-;-;-;-;-;-;-;-;-;Preussische Schloesser & Gaerten
Stiftung Berliner Mauer;650,000;700,000;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;-;369,250;-;330,750;-;-;-;-;-;Gedenkstaetten
Traegerverein Haus der Wannseekonferenz;106,177;110,834;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;54,126;56,693;52,051;54,141;-;-;-;-;-;Gedenkstaetten
Stiftung Gedenkstaette Berlin-Hohenschoenhausen;331,580;353,828;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;165,790;-;165,790;-;-;-;-;-;-;Gedenkstaetten
Gedenkstaette Deutscher Widerstand;221,000;222,950;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;-;-;-;-;-;-;-;-;-;Gedenkstaetten
Stiftung Topographie des Terrors;800,000;947,722;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;400,000;473,861;400,000;473,861;-;-;-;-;-;Gedenkstaetten
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schoeneweide;8,002;7,049;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;3,763;3,525;4,239;3,524;-;-;-;-;-;Gedenkstaetten
Kunst-Werke Berlin - Institute for Contemporary Art;39,636;137,760;18,207;11,153;21,429;126,607;21,436;74,390;18,260;63,370;-;-;-;-;-;Bildende Kunst
Kuenstlerhaus Bethanien (KHB);21,998;22,226;Freier Eintritt;Freier Eintritt;Freier Eintritt;Freier Eintritt;10,868;11,020;11,130;11,020;-;-;-;-;-;Bildende Kunst
Haus am Waldsee e.V.;12,769;14,143;9,380;10,464;3,389;3,679;7,110;8,050;5,659;6,093;-;-;-;-;Kinder werden statistisch erst ab 2013 gesondert erfasst ;Bildende Kunst
Stiftung Zentral- und Landesbibliothek Berlin;1,220,543;1,195,432;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;-;685,465;-;509,966;-;-;-;-;Genderdaten ab 2012 verfuegbar;Archive/Bibliotheken 
Landesarchiv Berlin;9,055;12. 286 ;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;Kein Eintritt - Nutzerentgelt;-;-;-;-;-;-;-;-;"Zaehlt Benutzer,
keine Besucher";Archive/Bibliotheken 
Theater Thikw…;5,300;3,499;4,500;2,405;800;-;-;-;-;-;-;-;-;-;Die Besucherzahlen werden den Einrichtungen von den Gastspielorten nicht uebermittelt, keine Angaben moeglich. ;  Basisfoerderung
SheShePop;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Die Einrichtung verfuegt ueber keine eigene Spielstaette.;  Basisfoerderung
Zeitgenoessische Oper Berlin;13,000;-;600;-;12,400;-;-;-;-;-;-;-;-;-;Die Veranstaltungen fanden im oeffentlichen Raum statt. Daher wurde/konnte  keine genaue Besucher-statistik erhoben werden.;  Basisfoerderung
Theater auf der Zitadelle;4,265;4,220;4,002;3,962;263;258;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Schlossplatztheater;5,686;4,534;4,220;-;1,466;-;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Theater o.N.;7,609;8,343;7,609;-;0;-;-;-;-;-;-;-;-;-;-;  Basisfoerderung
andcompany & Co;854;800;688;400;166;400;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Fliegendes Theater;5,288;5,288;4,974;4,974;314;314;-;-;-;-;-;-;-;-;-;  Basisfoerderung
ATZE Musiktheater;74,955;73,626;68,665;67,389;6,290;6,237;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Das Weite Theater;8,832;8,094;7,911;7,446;921;648;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Das Helmi;775;1,301;550;1,301;225;0;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Platypus Theater;1,360;723;1,323;635;37;88;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Lubricat;507;612;434;537;73;75;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Gob Squad;836;2,237;657;2,041;179;196;-;-;-;-;-;-;-;-;-;  Basisfoerderung
English Theatre Berlin;9,123;7,106;6,838;5,147;2,285;1,959;-;-;-;-;-;-;-;-;-;  Basisfoerderung
aufBruch ;3,218;3,247;817;0;2,401;3,247;-;-;-;-;-;-;-;-;Die Veranstaltungen fanden in der Justizvollzugsanstalt statt. Nur externe Besucher zahlen Eintritt.;  Basisfoerderung
Hans Wurst Nachfahren;18,237;18,413;17,237;17,413;1,000;1,000;-;-;-;-;-;-;-;-;-;  Basisfoerderung
Novoflot;920;-;746;-;174;-;-;-;-;-;-;-;-;-;-;  Basisfoerderung
